transaction_id,user_id,username,email,age,subscription,city,region,store_id,transaction_date,raw_timestamp,product_category,sale_amount,price,status
TXN000522,USER0091,shawgary,@nodomain.com,68,Premium,Patna,East,STORE004,2025-02-14,2025-02-14 03:47:03,Beauty,11694.9,,Returned
TXN000738,USER0204,sheryl79,sheryl79@outlook.com,18,Premium,  Patna  ,EAST,STORE004,2025-05-27,,Electronics,9777.38,77396.99,Returned
TXN000741,USER0064,vbrock,,22,Basic,Chandigarh,North,STORE001,2026-10-14,2026-10-14 05:05:18,Beauty,23554.53,48570.92,Completed
TXN000661,USER0209,trussell,,48,Premium,Pune,WEST,STORE004,04-28-2025,2025-04-28 08:03:20,Sports,23450.67,88626.97,Cancelled
TXN000412,USER0069,nwarren,nwarren@outlook.com,20,Basic,Mumbai,West,STORE004,17/07/2025,2025-07-17 00:44:24,Beauty,29541.99,69734.07,
TXN000679,USER0196,ugill,ugill@hotmail.com,24,Free,Mumbai,West,STORE004,2026-11-25,2026-11-25 01:35:03,,86471.82,78768.73,Completed
TXN000627,USER0213,jenniferburns,jenniferburns@hotmail.com,65,Free,Chennai,south,STORE005,2025-01-09,2025-01-09 03:40:54,Sports,55475.02,29148.38,Returned
TXN000514,USER0255,coleerin,coleerin@rediffmail.com,69,Free,Chandigarh,North,STORE002,2026-08-29,2026-08-29 02:52:52,Electronics,80464.91,42678.53,Returned
TXN000860,USER0212,hatfieldsarah,hatfieldsarah@gmail.com,49,Free,Kolkata,East,STORE001,2025-08-01,2025-08-01 12:06:31,Grocery,68764.91,37587.91,Cancelled
TXN000137,USER0082,,pwilliams@gmail.com,27,Free,Mumbai,WEST,STORE004,18/03/2025,2025-03-18 21:40:25,Electronics,12710.38,,Cancelled
TXN000812,USER0064,candice25,candice25@gmail.com,70,Premium,Chennai,South,STORE001,08/06/2025,2025-06-08 07:03:34,Beauty,29744.18,51203.09,Returned
TXN000077,USER0204,richarddavid,richarddavid@gmail.com,39,Free,Mumbai,West,STORE005,2025-03-18,2025-03-18 15:50:16,Furniture,95418.55,,Returned
TXN000637,USER0126,ybrooks,ybrooks@hotmail.com,39,Basic,Hyderabad,South,STORE005,2025-07-26,2025-07-26 14:26:49,Grocery,8614.86,37306.39,Returned
TXN000256,USER0104,sandraromero,sandraromero@yahoo.com,67,Free,Chandigarh,NORTH,STORE001,2025-11-22,,Grocery,10655.21,45011.72,Cancelled
TXN000939,USER0136,deborahporter,,46,Basic,Mumbai,West,STORE001,2025-05-08,2025-05-08 09:36:42,Furniture,986.18,3796.68,Cancelled
