customer_id,customer_name,email,registration_date,customer_type
1,Customer 1,customer1@example.com,2025-10-16,REGULAR
2,Customer 2,customer2@example.com,2024-01-26,VIP
3,Customer 3,customer3@example.com,2024-10-08,REGULAR
4,Customer 4,customer4@example.com,2024-08-16,REGULAR
5,Customer 5,customer5@example.com,2024-04-14,VIP
6,Customer 6,customer6@example.com,2025-07-12,REGULAR
7,Customer 7,customer7@example.com,2025-08-27,PREMIUM
8,Customer 8,customer8@example.com,2024-02-02,REGULAR
9,Customer 9,customer9@example.com,2024-04-05,REGULAR
10,Customer 10,customer10@example.com,2024-08-26,VIP
11,Customer 11,customer11@example.com,2025-09-08,REGULAR
12,Customer 12,customer12@example.com,2025-07-28,REGULAR
13,Customer 13,customer13@example.com,2025-10-27,VIP
14,Customer 14,customer14@example.com,2025-07-12,PREMIUM
15,Customer 15,customer15@example.com,2024-08-13,PREMIUM
16,Customer 16,customer16@example.com,2025-08-26,PREMIUM
17,Customer 17,customer17@example.com,2024-01-07,REGULAR
18,Customer 18,customer18@example.com,2025-03-08,PREMIUM
19,Customer 19,customer19@example.com,2024-10-11,REGULAR
20,Customer 20,customer20@example.com,2024-08-08,PREMIUM
21,Customer 21,customer21@example.com,2024-04-14,REGULAR
22,Customer 22,customer22@example.com,2025-01-24,REGULAR
23,Customer 23,customer23@example.com,2025-01-02,PREMIUM
24,Customer 24,customer24@example.com,2025-09-10,PREMIUM
25,Customer 25,customer25@example.com,2024-02-14,VIP
26,Customer 26,customer26@example.com,2025-04-15,VIP
27,Customer 27,customer27@example.com,2024-05-07,PREMIUM
28,Customer 28,customer28@example.com,2024-03-21,VIP
29,Customer 29,customer29@example.com,2024-10-27,VIP
30,Customer 30,customer30@example.com,2025-09-25,PREMIUM
31,Customer 31,customer31@example.com,2025-08-14,REGULAR
32,Customer 32,customer32@example.com,2024-03-12,REGULAR
33,Customer 33,customer33@example.com,2025-11-08,REGULAR
34,Customer 34,customer34@example.com,2024-10-23,REGULAR
35,Customer 35,customer35@example.com,2024-08-26,REGULAR
36,Customer 36,customer36@example.com,2025-01-24,PREMIUM
37,Customer 37,customer37@example.com,2025-04-09,VIP
38,Customer 38,customer38@example.com,2025-01-08,REGULAR
39,Customer 39,customer39@example.com,2025-01-14,PREMIUM
40,Customer 40,customer40@example.com,2024-08-02,VIP
41,Customer 41,customer41@example.com,2024-09-30,VIP
42,Customer 42,customer42@example.com,2025-11-30,VIP
43,Customer 43,customer43@example.com,2024-03-14,VIP
44,Customer 44,customer44@example.com,2025-10-12,REGULAR
45,Customer 45,customer45@example.com,2025-06-30,VIP
46,Customer 46,customer46@example.com,2024-09-07,REGULAR
47,Customer 47,customer47@example.com,2025-04-18,PREMIUM
48,Customer 48,customer48@example.com,2024-10-03,VIP
49,Customer 49,customer49@example.com,2025-07-24,REGULAR
50,Customer 50,customer50@example.com,2024-11-28,REGULAR
51,Customer 51,customer51@example.com,2024-08-22,REGULAR
52,Customer 52,customer52@example.com,2024-11-19,PREMIUM
53,Customer 53,customer53@example.com,2024-10-01,REGULAR
54,Customer 54,customer54@example.com,2024-08-04,VIP
55,Customer 55,customer55@example.com,2024-11-18,REGULAR
56,Customer 56,customer56@example.com,2025-11-02,PREMIUM
57,Customer 57,customer57@example.com,2025-02-09,VIP
58,Customer 58,customer58@example.com,2025-04-14,REGULAR
59,Customer 59,invalid_email_58,2024-09-28,REGULAR
60,Customer 60,customer60@example.com,2024-09-09,VIP
61,Customer 61,customer61@example.com,2025-07-28,VIP
62,Customer 62,customer62@example.com,2024-09-26,VIP
63,Customer 63,customer63@example.com,2025-08-21,PREMIUM
64,Customer 64,customer64@example.com,2025-08-20,PREMIUM
65,Customer 65,customer65@example.com,2025-01-05,REGULAR
66,Customer 66,customer66@example.com,2024-05-21,VIP
67,Customer 67,customer67@example.com,2025-05-20,REGULAR
68,Customer 68,customer68@example.com,2024-02-18,REGULAR
69,Customer 69,customer69@example.com,2024-06-05,VIP
70,Customer 70,customer70@example.com,2024-06-12,VIP
71,Customer 71,customer71@example.com,2025-03-08,VIP
72,Customer 72,customer72@example.com,2024-03-06,PREMIUM
73,Customer 73,customer73@example.com,2025-01-25,VIP
74,Customer 74,customer74@example.com,2025-04-24,VIP
75,Customer 75,customer75@example.com,2024-09-14,VIP
76,Customer 76,customer76@example.com,2024-01-12,VIP
77,Customer 77,customer77@example.com,2024-04-27,VIP
78,Customer 78,customer78@example.com,2025-07-03,PREMIUM
79,Customer 79,customer79@example.com,2025-10-18,PREMIUM
80,Customer 80,customer80@example.com,2024-04-24,PREMIUM
81,Customer 81,customer81@example.com,2025-03-21,REGULAR
82,Customer 82,customer82@example.com,2025-04-09,REGULAR
83,Customer 83,customer83@example.com,2024-09-26,VIP
84,Customer 84,customer84@example.com,2024-07-01,VIP
85,Customer 85,customer85@example.com,2024-04-18,VIP
86,Customer 86,customer86@example.com,2024-11-01,VIP
87,Customer 87,customer87@example.com,2025-06-03,VIP
88,Customer 88,customer88@example.com,2024-07-22,REGULAR
89,Customer 89,customer89@example.com,2025-01-17,REGULAR
90,Customer 90,customer90@example.com,2025-07-06,VIP
91,Customer 91,customer91@example.com,2024-01-01,VIP
92,Customer 92,customer92@example.com,2024-11-27,PREMIUM
93,Customer 93,customer93@example.com,2024-01-20,REGULAR
94,Customer 94,customer94@example.com,2025-01-06,PREMIUM
95,Customer 95,customer95@example.com,2024-09-02,REGULAR
96,Customer 96,customer96@example.com,2024-09-03,VIP
97,Customer 97,customer97@example.com,2024-03-21,REGULAR
98,Customer 98,customer98@example.com,2025-05-12,REGULAR
99,Customer 99,customer99@example.com,2025-06-29,REGULAR
100,Customer 100,customer100@example.com,2024-05-11,VIP
101,Customer 101,customer101@example.com,2025-05-01,VIP
102,Customer 102,invalid_email_101,2024-06-18,PREMIUM
103,Customer 103,customer103@example.com,2025-06-24,VIP
104,Customer 104,customer104@example.com,2025-03-09,REGULAR
105,Customer 105,customer105@example.com,2025-07-06,VIP
106,Customer 106,customer106@example.com,2024-07-24,VIP
107,Customer 107,customer107@example.com,2024-11-15,PREMIUM
108,Customer 108,customer108@example.com,2025-11-18,VIP
109,Customer 109,customer109@example.com,2025-01-17,PREMIUM
110,Customer 110,customer110@example.com,2025-06-13,PREMIUM
111,Customer 111,customer111@example.com,2024-05-03,REGULAR
112,Customer 112,customer112@example.com,2024-08-18,REGULAR
113,Customer 113,customer113@example.com,2024-12-12,REGULAR
114,Customer 114,customer114@example.com,2025-08-25,VIP
115,Customer 115,customer115@example.com,2024-08-23,VIP
116,Customer 116,customer116@example.com,2024-08-13,REGULAR
117,Customer 117,customer117@example.com,2024-03-13,VIP
118,Customer 118,customer118@example.com,2025-10-08,REGULAR
119,Customer 119,customer119@example.com,2024-08-22,REGULAR
120,Customer 120,customer120@example.com,2024-02-02,PREMIUM
121,Customer 121,customer121@example.com,2024-03-13,VIP
122,Customer 122,customer122@example.com,2024-08-31,PREMIUM
123,Customer 123,customer123@example.com,2025-11-16,PREMIUM
124,Customer 124,customer124@example.com,2024-08-07,VIP
125,Customer 125,customer125@example.com,2024-05-15,VIP
126,Customer 126,customer126@example.com,2025-08-07,VIP
127,Customer 127,customer127@example.com,2025-04-29,REGULAR
